,集數,日期,主題,分類,來賓,備註,c_view,g_view
1,967,5月22日,夫妻情話測試！ 誰是演藝圈撩妻王？,夫妻,王中平 侯昌明 沈玉琳 Paul,,399830,4
2,968,5月23日,挑戰對方的主打歌！ 原唱招架得住嗎？,歌曲,康康 張秀卿 翁立友 李崗霖 陳予新,,2560993,1
3,969,5月24日,大熱門徵信社！ 口說無憑證據會說話！！,活動,小甜甜 Eason 林進 允潔媽 謝忻 無尊 小A辣 蔡允潔,,418801,4
4,970,5月25日,我那裡很厲害！！ 人體局部器官運動會！！,遊戲,Paul 蔡允潔 香蕉 Becca 阿虎 曾智希 陳為民 拉拉,,1454866,1
5,971,5月29日,閨蜜暗黑掏心話！ 其實她背後都這樣說妳！,談話性,甄莉 Mei 陳櫻文 琪琪 徐小可,,278070,5
6,972,5月30日,約飯交友第三彈！ 黑暗聯誼會！,活動,馬國賢 貝童彤 允潔媽 劉尚謙 Uyi,,434348,4
7,973,5月31日,親子運動會！ 骨肉成隊友比較強嗎？！,遊戲,侯昌明 KenKen 林秀琴 陳琳 Ivy Mita 甄莉 Sky,,276270,5
8,974,6月1日,如果有一天可以變成他… 模仿偶像大車拼！,模仿,亦帆 大根 阿虎 逸祥 舒子晨 許書豪 嘻小瓜,,220354,5
9,975,6月5日,這搭檔會中嗎？ 新節目試鏡帶搶先看！（上）,活動,曾琴 R-ONE 葉公曹西平 趙正平 張立東 Vicky 山豬 Sky 孫其君,,385962,4
10,976,6月6日,這搭檔會中嗎？ 新節目試鏡帶搶先看！（下）死對頭同台！ 今晚不是你死就是我亡？！（上）,活動,曾琴 R-ONE 葉公曹西平 趙正平 張立東 Vicky 山豬 Sky 孫其君  曹西平 呂文婉卡古 阿虎 安喬 Una 小賴 婁峻碩 博焱 貝童彤 田舞陽 無尊 餅乾,,531250,3
11,977,6月7日,死對頭同台！ 今晚不是你死就是我亡？！（下）,活動,曹西平 呂文婉卡古 阿虎 安喬 Una 小賴 婁峻碩 博焱 貝童彤 田舞陽 無尊 餅乾,,337070,4
12,978,6月8日,新生代網紅崛起！ 他們竟靠這些事養家活口？！,談話性,小熊 Champion 包家禎 亞倫 貝莉莓 查克茲,,466300,4
13,979,6月12日,人妻簡訊實測！ 小心被套出天大的秘密！,夫妻,甄莉 咪咪 陳立芹 佩佩 林秀琴,,223408,5
14,980,6月13日,打造縣市主題曲！ 你能唱出我的家鄉味嗎？！,歌曲,小鍾 大女孩 大根 阿虎 山豬 TOP1男子漢 黃韋綸 鄞芽兒,,195673,5
15,981,6月14日,太奇葩了！ 世界各國怎麼會有這種比賽？,談話性,裴頡 李懿 大愷 陳大天 張立東 曾智希 詹子晴 惟毅,,398093,4
16,982,6月15日,24小時On Call！ 想當醫生也要命夠硬？！,職業,連天豪 Emi Alice 黃煜晏 魏智偉 陳彥宇 洪翊騰,,222584,5
17,983,6月19日,買不買單觀眾說了算！ 誰是2017上半年收視王？,活動,曹西平 嘻小瓜 沈玉琳 蔡允潔 大根 梁凱莉 熊熊 助理主持 趙正平,,296403,5
18,984,6月20日,照鏡子才發現！ 我長得跟這位巨星一模一樣,模仿,張軒睿 塗善存 陳予新 辛龍 卓義峰 郭曉曉 安喬 撒基努,,356379,4
19,985,6月21日,大哥也被拖鞋巴過頭？ 那年他們當菜鳥的日子！,談話性,陳為民 楊繡惠 白雲 錦雯 NONO,,339960,4
20,986,6月22日,感官的對決！ 你是視覺還是聽覺的動物？,活動,唐從聖 孫其君 綠茶 逸祥 Becca 陳宇馨 寧寧 宛宛兒 雅雅 方語昕 王喬尹 陳安,,592280,3
21,987,6月26日,啊啊啊啊啊！ 跟你相處壓力真的好大！,談話性,曹西平 孫協志 小鍾 何妤玟 趙正平,,499934,4
22,988,6月27日,這首歌會不紅！ 都是因為你而唱壞的？,歌曲,沈玉琳 何妤玟 何嘉文 唐從聖李崗霖 符瓊音 康禎庭 南拳媽媽,,257719,5
23,989,6月28日,外國人霧煞煞！ 來台灣生活搞不懂這些事！,談話性,妮娜 馬丁 銘銘 山姆 尚恩 派翠夏 波力士,,246812,5
24,990,6月29日,老婆對你的能力滿意嗎？ 夫妻幸福協談實測！,夫妻,小亮哥 侯昌明 Stanley 阿布 Paul Wendy老師,,311196,4
25,991,7月3日,赤裸人性實測！ 如果有人在你背後說壞話…,活動,曹西平 Apple 廖慧珍 逸祥 呂文婉 古拉 唐婷婷 巴巴烙,,471588,4
26,992,7月4日,照本宣科有什麼好玩的！ 老歌亂組裝才好聽？,歌曲,玖壹壹 曹西平 婁峻碩 斯亞 山豬 阿虎 郭子 魚乾 開水小姐,,1310458,1
27,993,7月5日,野外求生大戰！ 流放荒島你還有生存能力嗎？,遊戲,張立東 梁以辰 小熊 大飛 藍隊 Terry 依依 徐瑋吟 逸祥,,288595,5
28,994,7月6日,酒後吐真言！ 這種朋友千萬不要交！,談話性,委託人 小甜甜 劉雨柔 博焱 黃沐妍 調查目標 王少偉 周宜霈 阿虎 吳怡霈,,465924,4
29,995,7月10日,到底是老在等還是逆生長？ 女星視覺年齡大調查！,活動,林葉亭 Mei 陳櫻文 Lala Apple 周宜霈 陳艾熙 安喬,,292467,5
30,996,7月11日,紅鯉魚與綠鯉魚與驢！ 繞口令唱出來大挑戰！！,遊戲,王仁甫 安歆澐 Mr. Miss(劉戀 杜凱) A-Team ECHO,,235703,5
31,997,7月12日,領號碼牌還不一定排得到！ 全台最難預約的人氣職人！！,職業,NINIKO 羅師傅 錦霞 小顆 子萁 曾秉閎,,400904,4
32,998,7月13日,把妹不靠臉只靠一張嘴？！ 撩妹金句大戰！,活動,無尊 劉尚謙 惡魔 大根 強尼 瑋哥 馬丁 酷炫 正妹 解婕翎 芊予 牛奶兒 白白 Coco 潘維亞 梁依霏 吳芸 又又 親親 艾瑞絲 晨心 Angel 詹子瑜 田雅萍 恐龍 怡苔 蕾拉 Yumi,,1425716,1
33,999,7月17日,粉絲圓夢計畫！！ 主持人一個月任務大挑戰！！,活動,黃懷岫 懷岫嬤 黃怡華 如如 婷婷 筌筌 楊懷民 黃俊澤 徐文良,,307584,4
34,1000,7月18日,錯過要再等999集！ 大熱門主題曲徵選會！,歌曲,康康林芯儀 林亭翰 大飛 民雄 大根 康茵茵 婁峻碩 有激人,缺陳漢典主持,230606,5
35,1001,7月19日,四年來感謝有你！ 大熱門千集之最頒獎典禮！,活動,阿達 沈玉琳 曹西平 郭子 林進 徐瑋吟 張立東 Luxy Girls 侯昌明 曾雅蘭 大根 阿虎 卡古 博焱 許凱皓 孫其君 熊熊 小賴 嘻小瓜,,558374,3
36,1002,7月20日,四年來感謝有你！ 大熱門千集之最頒獎典禮！,活動,阿達 沈玉琳 曹西平 郭子 林進 徐瑋吟 張立東 Luxy Girls 侯昌明 曾雅蘭 大根 阿虎 卡古 博焱 許凱皓 孫其君 熊熊 小賴 嘻小瓜,,411314,4
37,1003,7月24日,員工也是人！ 但我的藝人老闆不是人！,職業,老闆 邵昕 王俐人 白雲 圓圓 員工 MiA 娃娃 Ya Ting Rick 蔡瑞容 鍾福元 米粉妹 A先生,,274874,5
38,1004,7月25日,我有話想對你唱！ 關係人愛恨情仇說唱大會！,歌曲,余皓然 趙正平 黃小柔 邰智源王中平 曹西平 張棋惠 大根,,287440,5
39,1005,7月26日,什麼奇葩職業！ 薪水竟然這麼高？！,職業,廖偉健 Danny Luxy Girls(Iwanka Becca) 王耀賢 劉盛 王筠婷 Hank 郭常喜,,836731,2
40,1006,7月27日,早下班第六彈！ 老人想下班 少年郎要夠力！！,遊戲,宏都拉斯 解婕翎 小甜甜 曾理 Yumi 少少 綠茶 助理主場 趙正平,,317304,4
41,1007,7月31日,跟你睡真的很痛苦欸！ 床伴惡習揭露！,談話性,成語蕎 黃沐妍 哈孝遠 郭彥均 安苡愛 瑪麗亞 香蕉 Cooper,,282570,5
42,1008,8月1日,喜怒哀樂情緒歌唱大賽！ 不投入就讓你升天！,歌曲,盧學叡 王中平 楊繡惠 吳申梅 大飛,,241234,5
43,1009,8月2日,一犯傻就會出人命！ 菜鳥醫生糗事一籮筐！,職業,海寧 魏智偉 蚯蚓 許小飛 吳敏髣 張振榕 飛飛,,162601,5
44,1010,8月3日,殘酷二選一！ 原來觀眾是這樣看你的…,活動,解婕翎 詹惟中 梁凱莉 張立東 李懿 Paul 黃沐妍 大根,,399345,4
45,1011,8月7日,酸民！！ 當面對質你敢不敢？！,活動,蔡允潔 馬西屏 曹西平 詹子晴 馬幼興,,457326,4
46,1012,8月8日,連爸爸都會認錯人？！ 以假亂真山寨大明星！,模仿,左左右右紫棋妹 李漢典 祈錦鈅 陸嘉偉 陳孟潔 信子 Ivy 小曾,,271492,5
47,1013,8月9日,腦袋不好就錄到天亮！早下班燒腦大挑戰！！,遊戲,小老師 嘻小瓜 宗憲隊 小馬 張齡予 漢典隊 沈玉琳 黃沐妍 LuLu隊 趙正平 小優,,656343,3
48,1014,8月10日,全民瘋Freestyle！ 大熱門的Freestyle最好笑！,歌曲,潘瑋柏 紅隊 小甜甜 Wacky Boys 溫妮 PSboyz 藍隊 韓森 唐從聖 芮德 Nike 曼達,,880692,2
49,1015,8月14日,如果可以換老婆！ 誰是藝能界最搶手的人妻？,夫妻,曾雅蘭 Vicky 林姿佑 Mei 萁萁 徐小可 咪咪,,1117121,1
